blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.36621,8.36351,25.33122,0.72021
linear,1.09497,6.34005,31.78561,0.92441
cosine,1.06838,6.73089,33.06303,0.94521
gaussian,1.04508,6.95927,34.15972,0.95853
data,1.09735,6.67512,32.21921,0.93007
