blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.32805,8.15652,25.81852,0.71213
linear,1.17564,6.38556,32.86523,0.92934
cosine,1.14640,6.80842,34.12691,0.95010
gaussian,1.12113,7.04504,35.04036,0.96231
data,1.15864,6.74710,33.12410,0.93532
