delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.25433,0.85264,5.33293,8.56034,40
6,81.25000,29.00872,0.81140,6.44416,9.85102,40
10,68.75000,28.10968,0.77569,7.36994,10.91263,40
13,59.37500,27.66379,0.74600,7.91632,11.48603,40
16,50.00000,26.97442,0.71343,8.73058,12.41371,40
19,40.62500,26.30930,0.67025,9.61896,13.48053,40
22,31.25000,25.74685,0.62638,10.47016,14.48036,40
26,18.75000,24.63619,0.54788,12.17987,16.55293,40
29,9.37500,23.96792,0.48263,13.34839,18.00104,40
31,3.12500,23.44460,0.41362,14.22539,19.10199,40
