blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.01457,6.67256,35.21830,0.96468
innercrop,1.08256,5.88094,30.99251,0.88050
tukey,1.08529,5.65872,32.18158,0.90927
ensemble,0.97395,3.86476,28.65967,0.77869
poisson,0.96284,7.16848,31.29019,0.98790
