delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.60097,0.84597,5.10372,7.98763,40
6,81.25000,29.68578,0.81391,5.88779,8.85902,40
10,68.75000,28.62385,0.77256,7.01851,10.02804,40
13,59.37500,28.15093,0.74263,7.55826,10.63426,40
16,50.00000,27.59361,0.70969,8.16332,11.28244,40
19,40.62500,27.05596,0.66855,8.70575,12.02706,40
22,31.25000,26.59404,0.61897,9.36283,12.76918,40
26,18.75000,25.59971,0.53024,10.80792,14.43584,40
29,9.37500,24.96312,0.46377,11.85997,15.74917,40
31,3.12500,24.29344,0.39327,13.14389,17.18452,40
