blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,0.98063,8.43098,34.69766,0.96500
innercrop,1.02096,7.98832,30.87970,0.90904
tukey,1.03410,7.39860,31.15400,0.91309
ensemble,0.93570,5.37101,27.76362,0.78505
poisson,0.93738,9.02491,33.68974,0.99007
