blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.26217,12.83950,23.58389,0.67320
linear,1.10177,10.26559,30.48883,0.92063
cosine,1.07596,10.86791,31.97972,0.94536
gaussian,1.05224,11.19995,33.23556,0.95995
data,1.08304,10.78129,30.97695,0.92941
