delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.25319,0.83548,5.25244,8.16453,40
6,81.25000,29.26982,0.80186,6.11094,9.12361,40
10,68.75000,28.27044,0.76033,7.11850,10.25269,40
13,59.37500,27.71386,0.73166,7.67526,10.91185,40
16,50.00000,27.32855,0.70541,8.15863,11.35626,40
19,40.62500,26.72574,0.66127,8.93982,12.27007,40
22,31.25000,25.85092,0.61062,10.02915,13.58351,40
26,18.75000,24.90760,0.53462,11.42477,15.17667,40
29,9.37500,24.12256,0.46622,12.91150,16.81758,40
31,3.12500,23.57472,0.42218,13.92290,18.01796,40
