blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.29302,7.56830,25.88164,0.72021
linear,1.11578,5.69345,32.61218,0.92794
cosine,1.08554,6.07558,33.82496,0.94763
gaussian,1.05988,6.30176,34.77503,0.95996
data,1.10363,6.00612,33.11780,0.93340
