delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,28.50703,0.85465,6.22571,10.18277,40
6,81.25000,27.66250,0.82208,7.21714,11.34436,40
10,68.75000,26.91559,0.78652,8.11344,12.31505,40
13,59.37500,26.06259,0.75468,9.18001,13.45123,40
16,50.00000,25.46163,0.71713,10.01843,14.50300,40
19,40.62500,24.85188,0.67647,10.96180,15.59252,40
22,31.25000,24.02784,0.62115,12.20352,17.03139,40
26,18.75000,23.03565,0.52803,14.08281,19.28271,40
29,9.37500,21.86680,0.43100,16.30543,22.15829,40
31,3.12500,21.23010,0.31811,17.79777,23.86700,40
