blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.32109,7.62812,25.77947,0.74855
linear,1.06984,5.95927,32.61744,0.93486
cosine,1.04530,6.33346,33.87084,0.95228
gaussian,1.02349,6.54401,34.82220,0.96291
data,1.07048,6.21893,32.82788,0.93645
