blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.04466,6.39178,35.23556,0.96641
innercrop,1.11623,5.70149,31.02125,0.89565
tukey,1.11041,5.51364,32.28893,0.92206
ensemble,1.02051,3.89683,28.75954,0.81276
poisson,0.99396,6.85593,34.81287,0.98823
