blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.00760,7.56017,34.76935,0.96370
innercrop,1.05783,6.93248,30.79470,0.89279
tukey,1.06800,6.53335,31.57511,0.91024
ensemble,0.96874,4.65142,28.16582,0.77919
poisson,0.95998,8.15558,29.10804,0.98628
