delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.16450,0.84114,4.85139,7.58292,40
6,81.25000,30.34742,0.80819,5.58069,8.29747,40
10,68.75000,29.28980,0.76929,6.59602,9.39335,40
13,59.37500,28.78562,0.74547,7.11942,10.00208,40
16,50.00000,28.29705,0.71273,7.68558,10.66173,40
19,40.62500,27.86116,0.68155,8.30154,11.27161,40
22,31.25000,27.24599,0.64059,9.17567,12.23877,40
26,18.75000,26.21505,0.57071,10.48272,13.89940,40
29,9.37500,25.42471,0.50939,11.53415,15.25876,40
31,3.12500,24.94731,0.47478,12.43834,16.28972,40
