delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.29219,0.87169,4.67317,7.55832,40
6,81.25000,30.66676,0.84712,5.28228,8.23860,40
10,68.75000,29.72796,0.81440,6.14222,9.14793,40
13,59.37500,29.10885,0.79008,6.65442,9.81729,40
16,50.00000,28.72267,0.76417,7.13395,10.22824,40
19,40.62500,28.32230,0.73259,7.57432,10.70985,40
22,31.25000,27.81742,0.69334,8.29922,11.50662,40
26,18.75000,27.00899,0.62609,9.39081,12.80679,40
29,9.37500,26.21151,0.56456,10.66009,14.29248,40
31,3.12500,25.66921,0.52100,11.58558,15.25382,40
