delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.71341,0.83730,5.07162,7.79357,40
6,81.25000,29.69638,0.79960,6.00008,8.84954,40
10,68.75000,28.57065,0.75257,7.08932,10.08475,40
13,59.37500,28.01892,0.72882,7.64460,10.73025,40
16,50.00000,27.48952,0.69549,8.22338,11.45672,40
19,40.62500,27.02438,0.65697,8.88676,12.19064,40
22,31.25000,26.65821,0.62587,9.30084,12.64407,40
26,18.75000,25.57087,0.54250,10.87947,14.54780,40
29,9.37500,24.90497,0.49358,11.84844,15.73384,40
31,3.12500,24.35626,0.44333,12.66868,16.78394,40
