blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.30692,7.68379,26.00775,0.69155
linear,1.09441,5.61228,32.64706,0.92021
cosine,1.06617,6.00065,33.80083,0.94273
gaussian,1.04079,6.23577,34.73377,0.95709
data,1.09426,5.91608,32.98947,0.92482
