delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,29.97940,0.83666,5.43286,8.45733,40
6,81.25000,29.10451,0.80228,6.31157,9.35414,40
10,68.75000,28.22333,0.76293,7.20610,10.35757,40
13,59.37500,27.55824,0.72937,7.91580,11.19808,40
16,50.00000,27.15313,0.69769,8.46273,11.80436,40
19,40.62500,26.55643,0.65801,9.21112,12.67589,40
22,31.25000,26.00497,0.61386,9.98758,13.55978,40
26,18.75000,24.77414,0.52634,11.63837,15.59276,40
29,9.37500,24.21869,0.45694,12.43023,16.73487,40
31,3.12500,23.85718,0.40450,13.19974,17.55440,40
