y,x,delta,overlap_pct,psnr,ssim,mae,rmse
160,768,6,81.25000,24.90914,0.80430,9.60098,14.49049
288,1120,6,81.25000,30.82882,0.78238,5.08105,7.32992
288,1280,6,81.25000,29.35675,0.77388,6.23360,8.68366
448,736,6,81.25000,27.92104,0.79782,6.41196,10.24443
480,32,6,81.25000,25.79109,0.77965,8.75090,13.09138
512,384,6,81.25000,31.15752,0.85362,4.26940,7.05772
512,640,6,81.25000,28.61583,0.80092,6.22211,9.45690
640,1344,6,81.25000,32.07851,0.86499,4.42210,6.34768
704,768,6,81.25000,27.63883,0.88961,5.66051,10.58275
800,736,6,81.25000,24.30110,0.79938,10.04837,15.54123
832,512,6,81.25000,27.96042,0.81009,6.74229,10.19810
832,896,6,81.25000,24.25083,0.79389,10.26418,15.63142
896,640,6,81.25000,27.95091,0.76169,7.43757,10.20926
896,800,6,81.25000,31.58161,0.88935,3.94103,6.72140
928,160,6,81.25000,26.33463,0.74732,8.60775,12.29727
928,416,6,81.25000,25.83683,0.70954,9.10941,13.02263
992,800,6,81.25000,29.10997,0.82970,5.73287,8.93392
1024,1280,6,81.25000,24.90254,0.67759,10.30614,14.50151
1056,960,6,81.25000,30.19994,0.80447,5.67771,7.88031
1088,1312,6,81.25000,32.91270,0.83283,4.22140,5.76640
1184,1120,6,81.25000,33.27962,0.86788,3.83194,5.52789
1216,64,6,81.25000,27.40353,0.88076,8.18808,10.87336
1248,1120,6,81.25000,30.26475,0.80017,5.28368,7.82172
1312,1280,6,81.25000,29.54978,0.77344,6.04832,8.49281
1344,384,6,81.25000,29.90059,0.77317,5.74525,8.15663
1376,864,6,81.25000,26.65367,0.82643,7.02560,11.85377
1376,1376,6,81.25000,27.02895,0.68720,7.80836,11.35254
1408,640,6,81.25000,31.97468,0.83878,4.47136,6.42401
1408,1248,6,81.25000,28.77563,0.71455,6.48300,9.28451
1472,1344,6,81.25000,27.01392,0.74482,7.49405,11.37219
1536,352,6,81.25000,30.94003,0.79541,5.25110,7.23667
1568,1312,6,81.25000,31.72915,0.84397,4.29981,6.60819
1632,640,6,81.25000,34.01792,0.86186,3.46117,5.07743
32,192,10,68.75000,29.95518,0.79828,5.14437,8.10552
32,1152,10,68.75000,29.63307,0.69980,6.35505,8.41176
64,192,10,68.75000,31.17805,0.86037,4.19265,7.04105
64,992,10,68.75000,30.98644,0.74440,5.42102,7.19810
96,96,10,68.75000,25.46724,0.76099,8.56335,13.58871
128,1088,10,68.75000,29.71245,0.82463,6.26010,8.33523
160,160,10,68.75000,28.62724,0.74912,6.91646,9.44449
160,768,10,68.75000,23.04745,0.73045,12.42660,17.95426
288,1120,10,68.75000,29.64807,0.73176,6.21113,8.39724
288,1280,10,68.75000,28.23386,0.72802,7.15273,9.88205
448,736,10,68.75000,27.38839,0.75569,7.16692,10.89233
480,32,10,68.75000,24.80537,0.72565,10.18968,14.66466
512,384,10,68.75000,32.32284,0.83630,4.23057,6.17161
512,640,10,68.75000,28.00132,0.77558,6.98606,10.15019
640,1344,10,68.75000,30.08886,0.77676,5.62715,7.98174
704,768,10,68.75000,26.82765,0.87078,6.40508,11.61870
800,736,10,68.75000,23.97702,0.77807,10.65538,16.13204
832,512,10,68.75000,26.27831,0.77250,8.91994,12.37726
832,896,10,68.75000,23.43170,0.74499,11.67433,17.17731
896,640,10,68.75000,26.90517,0.68917,8.18310,11.51547
896,800,10,68.75000,29.11880,0.86494,6.32798,8.92484
928,160,10,68.75000,24.94648,0.67947,10.51461,14.42833
928,416,10,68.75000,25.40894,0.67268,9.49976,13.68023
992,800,10,68.75000,27.96726,0.78290,6.99228,10.19007
1024,1280,10,68.75000,23.94883,0.61861,11.84694,16.18448
1056,960,10,68.75000,30.10655,0.77613,5.73626,7.96549
1088,1312,10,68.75000,31.29702,0.80392,5.45344,6.94527
1184,1120,10,68.75000,31.63449,0.82902,4.75415,6.68061
1216,64,10,68.75000,28.79220,0.88520,6.90924,9.26681
1248,1120,10,68.75000,28.35857,0.75620,6.88105,9.74118
1312,1280,10,68.75000,28.66587,0.74854,6.89781,9.40257
1344,384,10,68.75000,30.20630,0.74715,5.61756,7.87454
1376,864,10,68.75000,25.24216,0.79317,8.63370,13.94545
1376,1376,10,68.75000,26.61210,0.65020,8.19929,11.91064
1408,640,10,68.75000,32.05136,0.80120,4.47077,6.36755
1408,1248,10,68.75000,28.32395,0.67845,6.90696,9.78008
1472,1344,10,68.75000,25.91071,0.68747,8.96900,12.91233
1536,352,10,68.75000,30.32907,0.76045,5.77080,7.76402
1568,1312,10,68.75000,30.61933,0.80036,5.06122,7.50885
1632,640,10,68.75000,32.87754,0.82774,4.11947,5.78980
32,192,13,59.37500,28.65614,0.74106,6.42773,9.41311
32,1152,13,59.37500,29.89238,0.70163,6.19883,8.16434
64,192,13,59.37500,29.00894,0.83422,5.09899,9.03844
64,992,13,59.37500,29.30137,0.69934,6.88379,8.73920
96,96,13,59.37500,24.83451,0.71750,9.35609,14.61553
128,1088,13,59.37500,27.59496,0.78519,8.80247,10.63633
160,160,13,59.37500,27.94218,0.68988,7.45029,10.21953
160,768,13,59.37500,22.47774,0.68881,13.61525,19.17137
288,1120,13,59.37500,29.75830,0.70982,6.19834,8.29135
288,1280,13,59.37500,28.06035,0.70001,7.34063,10.08144
448,736,13,59.37500,26.57190,0.73149,7.81176,11.96590
480,32,13,59.37500,24.28014,0.68364,11.07468,15.57877
512,384,13,59.37500,32.82456,0.82490,4.11780,5.82522
512,640,13,59.37500,27.41352,0.74621,7.74536,10.86086
640,1344,13,59.37500,29.88706,0.75753,5.84502,8.16934
704,768,13,59.37500,26.99466,0.86377,6.46508,11.39743
800,736,13,59.37500,23.02985,0.72264,12.25769,17.99069
832,512,13,59.37500,26.46589,0.74860,8.58639,12.11283
832,896,13,59.37500,22.84977,0.70103,12.87826,18.36756
896,640,13,59.37500,25.92182,0.66365,9.06944,12.89583
896,800,13,59.37500,29.16507,0.86285,6.01500,8.87742
928,160,13,59.37500,23.78664,0.61400,12.10943,16.48953
928,416,13,59.37500,25.05695,0.62908,10.00369,14.24600
992,800,13,59.37500,27.07296,0.74684,7.59541,11.29516
1024,1280,13,59.37500,23.39090,0.58624,12.73890,17.25818
1056,960,13,59.37500,28.54165,0.72279,7.10369,9.53800
1088,1312,13,59.37500,31.96754,0.80037,4.99859,6.42929
1184,1120,13,59.37500,30.22796,0.77783,5.57322,7.85493
1216,64,13,59.37500,28.12476,0.85923,7.61690,10.00696
1248,1120,13,59.37500,27.85945,0.72200,7.40857,10.31734
1312,1280,13,59.37500,27.67513,0.70943,7.92649,10.53862
1344,384,13,59.37500,30.06517,0.71081,5.84265,8.00353
1376,864,13,59.37500,23.95137,0.73680,10.27091,16.17975
1376,1376,13,59.37500,26.14325,0.61081,8.97921,12.57122
1408,640,13,59.37500,31.88972,0.78578,4.68108,6.48715
