blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.25233,10.12367,25.09264,0.66900
linear,1.06473,7.82907,32.03732,0.91930
cosine,1.04129,8.29187,33.35540,0.94424
gaussian,1.01811,8.55461,34.38811,0.95913
data,1.06508,8.25661,32.53721,0.92813
