delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.76636,0.84278,4.84121,7.17136,40
6,81.25000,30.96035,0.81691,5.39884,7.79847,40
10,68.75000,29.83902,0.77456,6.37529,8.90766,40
13,59.37500,29.32089,0.74786,6.87460,9.49140,40
16,50.00000,28.71999,0.72026,7.53054,10.17523,40
19,40.62500,28.43282,0.68492,7.83037,10.58186,40
22,31.25000,27.80290,0.64748,8.42188,11.30465,40
26,18.75000,27.13338,0.58715,9.14133,12.20680,40
29,9.37500,26.29745,0.53895,10.07972,13.31511,40
31,3.12500,26.02058,0.50032,10.54538,13.85109,40
