blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.27511,8.24546,26.02301,0.71370
linear,1.15236,6.42992,33.04976,0.93096
cosine,1.12478,6.84660,34.25404,0.95129
gaussian,1.09849,7.07767,35.10342,0.96307
data,1.12761,6.76407,33.18669,0.93575
