blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.34498,8.47396,25.99588,0.72362
linear,1.20675,6.71807,33.07731,0.93507
cosine,1.17618,7.15910,34.33259,0.95461
gaussian,1.14970,7.40179,35.23872,0.96574
data,1.17607,7.09373,33.29743,0.94065
