blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.25016,8.94138,25.47529,0.69145
linear,1.05323,6.83846,31.81133,0.91888
cosine,1.02961,7.26965,33.13555,0.94242
gaussian,1.00817,7.52165,34.27446,0.95738
data,1.04884,7.19940,32.30518,0.92545
