blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.27564,9.28415,24.89968,0.66650
linear,1.15081,7.07580,31.76326,0.91471
cosine,1.11731,7.57603,33.10692,0.93956
gaussian,1.09015,7.87397,34.21025,0.95510
data,1.14089,7.34479,31.91047,0.91590
