delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.73554,0.83384,5.42883,8.18123,40
6,81.25000,29.86112,0.81363,6.11311,8.97563,40
10,68.75000,28.57673,0.77231,7.24370,10.30586,40
13,59.37500,27.92295,0.75054,7.79155,11.05390,40
16,50.00000,27.21873,0.71106,8.72848,12.09641,40
19,40.62500,26.80136,0.67722,9.29682,12.78765,40
22,31.25000,26.33158,0.62870,10.00169,13.56206,40
26,18.75000,25.70535,0.57118,11.01108,14.70548,40
29,9.37500,25.09666,0.51613,11.80691,15.77528,40
31,3.12500,24.70782,0.46788,12.47479,16.53882,40
