blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.03655,11.67555,33.76752,0.96457
innercrop,1.04631,11.50357,30.93956,0.92922
tukey,1.09321,10.35890,29.96880,0.91015
ensemble,0.98822,7.76452,26.47352,0.76714
poisson,0.99409,12.43360,29.34242,0.98575
