delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.11995,0.84031,4.77227,7.35634,40
6,81.25000,30.31830,0.81807,5.52509,8.09655,40
10,68.75000,29.47278,0.78599,6.24079,8.89354,40
13,59.37500,28.82259,0.75306,6.93238,9.70983,40
16,50.00000,28.37580,0.72619,7.30374,10.19504,40
19,40.62500,28.25363,0.70002,7.48904,10.40163,40
22,31.25000,27.87009,0.67294,7.85536,10.80566,40
26,18.75000,27.15090,0.62328,8.63883,11.76831,40
29,9.37500,26.59141,0.56601,9.37746,12.65885,40
31,3.12500,25.80771,0.53179,10.29508,13.94748,40
