delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.02092,0.84460,5.10902,7.82319,40
6,81.25000,30.21698,0.80805,5.99214,8.67203,40
10,68.75000,28.91793,0.76423,7.05359,9.89408,40
13,59.37500,28.41011,0.73994,7.60422,10.52030,40
16,50.00000,27.47247,0.69973,8.53400,11.63289,40
19,40.62500,26.67062,0.66370,9.43645,12.75804,40
22,31.25000,26.46611,0.62339,9.72566,13.02349,40
26,18.75000,25.55270,0.55708,11.06305,14.54585,40
29,9.37500,24.80504,0.50589,12.20065,15.85481,40
31,3.12500,24.21489,0.45846,13.22458,17.10401,40
