blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.01151,7.46066,35.14588,0.96494
innercrop,1.04603,7.07197,31.78260,0.91086
tukey,1.06763,6.52926,32.17182,0.91632
ensemble,0.96757,4.73317,28.62653,0.79404
poisson,0.96172,8.03471,33.65812,0.99037
