blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.39588,6.78063,26.30635,0.72245
linear,1.11612,5.07174,33.03810,0.92748
cosine,1.08843,5.41925,34.22949,0.94697
gaussian,1.06564,5.62069,35.12506,0.95900
data,1.11792,5.35089,33.29987,0.92998
