delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.74121,0.84443,5.08053,7.95362,40
6,81.25000,29.92774,0.81658,5.78785,8.76303,40
10,68.75000,28.87513,0.77671,6.75335,9.82666,40
13,59.37500,28.56596,0.75811,7.13106,10.22460,40
16,50.00000,27.84174,0.72126,7.88351,11.11641,40
19,40.62500,27.22878,0.68470,8.66709,12.02992,40
22,31.25000,26.66100,0.64350,9.42303,12.87953,40
26,18.75000,25.86150,0.57368,10.61070,14.20059,40
29,9.37500,25.07823,0.50235,11.60597,15.42165,40
31,3.12500,24.55751,0.44564,12.32954,16.24008,40
