delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.20128,0.84528,5.38429,8.51803,40
6,81.25000,29.19324,0.81198,6.28962,9.51240,40
10,68.75000,28.46969,0.77526,7.25797,10.39550,40
13,59.37500,27.96594,0.74027,7.87203,11.09631,40
16,50.00000,27.60883,0.70469,8.44050,11.72571,40
19,40.62500,27.10444,0.66303,9.22136,12.55418,40
22,31.25000,26.44989,0.61116,10.12719,13.56320,40
26,18.75000,25.58793,0.52579,11.44790,15.11866,40
29,9.37500,24.65146,0.45406,12.84037,16.83496,40
31,3.12500,24.21367,0.39453,13.66610,17.89096,40
