blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.06100,8.43812,34.93998,0.96441
innercrop,1.13430,7.22280,29.72028,0.85863
tukey,1.14053,7.13438,31.25785,0.90309
ensemble,1.01472,4.99116,27.74070,0.76283
poisson,1.01411,8.98983,34.30986,0.98824
