blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.34770,9.37424,24.88626,0.69405
linear,1.09744,7.00526,31.63306,0.92169
cosine,1.06998,7.45265,32.91070,0.94429
gaussian,1.04446,7.71820,33.97262,0.95820
data,1.10198,7.33820,31.88318,0.92468
