delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,32.91411,0.87234,3.85372,6.05385,40
6,81.25000,32.10317,0.84668,4.41918,6.65473,40
10,68.75000,31.23447,0.81483,5.05491,7.36077,40
13,59.37500,30.70164,0.79222,5.48147,7.83595,40
16,50.00000,30.37607,0.76704,5.75682,8.15909,40
19,40.62500,29.74353,0.73188,6.28750,8.76618,40
22,31.25000,29.19863,0.69752,6.80221,9.38486,40
26,18.75000,28.04005,0.62490,7.88046,10.79976,40
29,9.37500,27.31907,0.55257,8.88148,11.93225,40
31,3.12500,26.84917,0.52440,9.48626,12.76818,40
