blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.24842,12.42595,23.75649,0.65109
linear,1.08454,9.64186,30.56947,0.91146
cosine,1.05839,10.23978,32.04345,0.93838
gaussian,1.03502,10.57704,33.30872,0.95512
data,1.07102,10.14726,31.08711,0.92177
