blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.31097,7.15000,26.39872,0.73457
linear,1.08120,5.29160,33.14300,0.93270
cosine,1.05500,5.63402,34.31667,0.95153
gaussian,1.03271,5.83575,35.21786,0.96307
data,1.08150,5.56606,33.52275,0.93716
