blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.08365,5.69700,35.73487,0.96669
innercrop,1.21890,5.04036,31.39116,0.89429
tukey,1.14666,4.92493,33.00563,0.92690
ensemble,1.14677,3.48249,29.40661,0.82760
poisson,1.02603,6.11064,31.76198,0.98448
