blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.32931,9.55185,25.29212,0.68725
linear,1.14227,7.27145,32.34133,0.92383
cosine,1.11082,7.74655,33.68228,0.94675
gaussian,1.08409,8.02031,34.71223,0.96042
data,1.12801,7.66763,32.80404,0.93111
