delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,29.26345,0.82276,6.08641,9.38830,40
6,81.25000,28.63266,0.79306,6.76079,10.10101,40
10,68.75000,27.76982,0.74915,7.71151,11.13664,40
13,59.37500,27.22421,0.71968,8.44885,11.98251,40
16,50.00000,26.51349,0.67644,9.30693,12.98365,40
19,40.62500,25.72565,0.63418,10.27828,14.13202,40
22,31.25000,25.13100,0.59120,11.17372,15.15875,40
26,18.75000,24.34477,0.52809,12.48647,16.57533,40
29,9.37500,23.58038,0.45494,13.83814,18.16987,40
31,3.12500,23.30623,0.39675,14.33213,18.75003,40
