blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.27938,6.33182,26.89891,0.75494
linear,1.04501,4.59592,33.61981,0.93642
cosine,1.02096,4.89795,34.72506,0.95307
gaussian,0.99940,5.07235,35.51542,0.96333
data,1.04361,4.82533,33.91084,0.93831
