blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.22740,10.84442,24.94753,0.69286
linear,1.05933,8.45000,32.04416,0.92665
cosine,1.03467,8.95429,33.43602,0.94886
gaussian,1.01234,9.22895,34.45753,0.96179
data,1.05103,8.89339,32.51109,0.93418
