delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.72020,0.83818,5.23064,7.92481,40
6,81.25000,29.89021,0.80686,5.98819,8.79393,40
10,68.75000,29.02904,0.76821,6.82807,9.70079,40
13,59.37500,28.67168,0.74756,7.16791,10.07545,40
16,50.00000,28.06726,0.71617,7.71297,10.71131,40
19,40.62500,27.15137,0.67228,8.69901,11.93534,40
22,31.25000,26.40875,0.63500,9.35753,12.79442,40
26,18.75000,25.42082,0.56614,10.64459,14.31905,40
29,9.37500,24.58552,0.49999,12.00623,15.95975,40
31,3.12500,24.04064,0.45941,12.79618,16.91653,40
