blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.32292,8.84819,25.29339,0.71202
linear,1.12014,6.69298,32.26386,0.92723
cosine,1.09257,7.11367,33.60077,0.94801
gaussian,1.06909,7.35968,34.65275,0.96074
data,1.10515,7.01351,32.57359,0.93091
