blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.30379,8.44649,25.88683,0.70865
linear,1.13186,6.52522,32.81403,0.92802
cosine,1.10106,6.95835,34.08013,0.94893
gaussian,1.07476,7.20016,35.01890,0.96157
data,1.11637,6.89415,33.25988,0.93505
