delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.39585,0.85125,5.02758,8.08383,40
6,81.25000,29.54517,0.81815,5.82995,8.92015,40
10,68.75000,28.59066,0.77648,6.68101,9.92849,40
13,59.37500,27.91715,0.74737,7.38660,10.66570,40
16,50.00000,27.47550,0.71377,7.98075,11.26324,40
19,40.62500,26.62204,0.66305,8.96004,12.52280,40
22,31.25000,25.96879,0.61275,9.76452,13.50802,40
26,18.75000,25.33794,0.52369,10.76984,14.71096,40
29,9.37500,24.82395,0.45475,11.65341,15.74118,40
31,3.12500,24.04712,0.38122,13.01237,17.24842,40
