delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,29.74799,0.85535,5.45533,8.92642,40
6,81.25000,28.90358,0.82196,6.32196,9.88170,40
10,68.75000,28.07170,0.78545,7.27566,10.86574,40
13,59.37500,27.41275,0.75222,8.02314,11.75469,40
16,50.00000,26.92318,0.71790,8.67067,12.46467,40
19,40.62500,26.32438,0.68058,9.37866,13.30404,40
22,31.25000,25.66257,0.62753,10.21542,14.33293,40
26,18.75000,24.48343,0.53011,11.85126,16.35151,40
29,9.37500,23.79944,0.46826,13.03895,17.76603,40
31,3.12500,23.58626,0.38889,13.63559,18.36918,40
