blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.32268,9.40080,24.71935,0.64676
linear,1.11054,7.08886,31.21696,0.90683
cosine,1.07963,7.59113,32.60590,0.93426
gaussian,1.05244,7.89800,33.81952,0.95192
data,1.09216,7.53870,31.87492,0.91851
