blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.07633,7.59152,34.76355,0.96055
innercrop,1.16518,6.86110,30.04899,0.87128
tukey,1.14746,6.48702,30.96471,0.89718
ensemble,1.08629,4.48248,27.77856,0.75466
poisson,1.01976,8.18931,31.83412,0.98628
