blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.01908,8.33271,34.35493,0.96351
innercrop,1.03073,8.23654,31.90929,0.93199
tukey,1.07164,7.38561,31.02924,0.91423
ensemble,0.98451,5.39405,27.67090,0.78926
poisson,0.96699,8.97368,28.38377,0.98510
