delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,29.72858,0.83692,5.61527,8.74622,40
6,81.25000,28.75451,0.79608,6.60694,9.84273,40
10,68.75000,27.97487,0.75875,7.44771,10.77736,40
13,59.37500,27.37407,0.72856,8.11605,11.51551,40
16,50.00000,27.03598,0.69739,8.58713,12.06651,40
19,40.62500,26.66842,0.66226,9.10446,12.61962,40
22,31.25000,26.02614,0.61762,9.91518,13.63508,40
26,18.75000,25.26140,0.53157,11.16528,15.09246,40
29,9.37500,24.71865,0.46962,12.03174,16.13062,40
31,3.12500,24.51424,0.41764,12.44586,16.53012,40
