delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.79615,0.84921,4.98016,7.82698,40
6,81.25000,29.97655,0.82182,5.71743,8.61692,40
10,68.75000,28.87946,0.78318,6.72711,9.78345,40
13,59.37500,28.31618,0.75891,7.33179,10.46927,40
16,50.00000,27.42165,0.71846,8.22011,11.56207,40
19,40.62500,27.19235,0.68773,8.65999,12.02065,40
22,31.25000,26.61195,0.64444,9.37609,12.79633,40
26,18.75000,25.82753,0.57264,10.58384,14.21451,40
29,9.37500,24.91475,0.50388,11.87869,15.79768,40
31,3.12500,24.19062,0.44162,12.91596,17.08028,40
