delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.75219,0.85891,4.54255,7.19256,40
6,81.25000,31.07942,0.83050,5.22279,7.89269,40
10,68.75000,30.09440,0.79383,6.11052,8.88263,40
13,59.37500,29.35631,0.76968,6.62582,9.48802,40
16,50.00000,29.01587,0.74321,7.10716,10.00255,40
19,40.62500,28.53470,0.71251,7.62080,10.53442,40
22,31.25000,28.11622,0.67473,8.12395,11.08469,40
26,18.75000,27.20937,0.60298,9.22989,12.47407,40
29,9.37500,26.50843,0.54106,10.10508,13.50885,40
31,3.12500,26.27270,0.50824,10.46968,13.95018,40
