y,x,delta,overlap_pct,psnr,ssim,mae,rmse
32,224,0,100.00000,99.99000,1.00000,0.00000,0.00000
32,1184,0,100.00000,99.99000,1.00000,0.00000,0.00000
64,192,0,100.00000,99.99000,1.00000,0.00000,0.00000
64,992,0,100.00000,99.99000,1.00000,0.00000,0.00000
96,96,0,100.00000,99.99000,1.00000,0.00000,0.00000
128,1120,0,100.00000,99.99000,1.00000,0.00000,0.00000
160,160,0,100.00000,99.99000,1.00000,0.00000,0.00000
160,768,0,100.00000,99.99000,1.00000,0.00000,0.00000
288,1152,0,100.00000,99.99000,1.00000,0.00000,0.00000
288,1312,0,100.00000,99.99000,1.00000,0.00000,0.00000
448,768,0,100.00000,99.99000,1.00000,0.00000,0.00000
480,64,0,100.00000,99.99000,1.00000,0.00000,0.00000
512,384,0,100.00000,99.99000,1.00000,0.00000,0.00000
512,640,0,100.00000,99.99000,1.00000,0.00000,0.00000
640,1376,0,100.00000,99.99000,1.00000,0.00000,0.00000
704,800,0,100.00000,99.99000,1.00000,0.00000,0.00000
800,768,0,100.00000,99.99000,1.00000,0.00000,0.00000
832,544,0,100.00000,99.99000,1.00000,0.00000,0.00000
832,928,0,100.00000,99.99000,1.00000,0.00000,0.00000
896,640,0,100.00000,99.99000,1.00000,0.00000,0.00000
896,800,0,100.00000,99.99000,1.00000,0.00000,0.00000
928,160,0,100.00000,99.99000,1.00000,0.00000,0.00000
928,416,0,100.00000,99.99000,1.00000,0.00000,0.00000
992,832,0,100.00000,99.99000,1.00000,0.00000,0.00000
1024,1312,0,100.00000,99.99000,1.00000,0.00000,0.00000
1024,1344,0,100.00000,99.99000,1.00000,0.00000,0.00000
1056,992,0,100.00000,99.99000,1.00000,0.00000,0.00000
1088,1376,0,100.00000,99.99000,1.00000,0.00000,0.00000
1184,1152,0,100.00000,99.99000,1.00000,0.00000,0.00000
1216,96,0,100.00000,99.99000,1.00000,0.00000,0.00000
1248,1152,0,100.00000,99.99000,1.00000,0.00000,0.00000
1312,1312,0,100.00000,99.99000,1.00000,0.00000,0.00000
1344,416,0,100.00000,99.99000,1.00000,0.00000,0.00000
1376,896,0,100.00000,99.99000,1.00000,0.00000,0.00000
1408,32,0,100.00000,99.99000,1.00000,0.00000,0.00000
1408,672,0,100.00000,99.99000,1.00000,0.00000,0.00000
1408,1280,0,100.00000,99.99000,1.00000,0.00000,0.00000
1472,1376,0,100.00000,99.99000,1.00000,0.00000,0.00000
1536,384,0,100.00000,99.99000,1.00000,0.00000,0.00000
1568,1376,0,100.00000,99.99000,1.00000,0.00000,0.00000
32,224,3,90.62500,35.35194,0.92095,2.84033,4.35455
32,1184,3,90.62500,33.03549,0.81122,4.08947,5.68546
64,192,3,90.62500,32.02894,0.85470,4.01620,6.38400
64,992,3,90.62500,40.66834,0.97317,1.98855,2.36115
96,96,3,90.62500,27.79838,0.74819,6.81228,10.39013
128,1120,3,90.62500,31.82054,0.79562,4.41488,6.53903
160,160,3,90.62500,37.64215,0.90364,2.42599,3.34528
160,768,3,90.62500,27.09414,0.76738,7.90229,11.26764
288,1152,3,90.62500,33.30381,0.84825,3.68251,5.51252
288,1312,3,90.62500,34.53563,0.89358,2.81109,4.78364
448,768,3,90.62500,28.65951,0.88843,5.03523,9.40946
480,64,3,90.62500,39.22802,0.92986,1.97298,2.78701
512,384,3,90.62500,34.09771,0.91883,2.98196,5.03101
512,640,3,90.62500,30.57619,0.83620,4.81482,7.54624
640,1376,3,90.62500,31.07572,0.83477,4.46756,7.12450
704,800,3,90.62500,32.93870,0.88530,3.16774,5.74917
800,768,3,90.62500,26.07886,0.82327,7.62845,12.66477
832,544,3,90.62500,32.82668,0.86804,3.56187,5.82380
832,928,3,90.62500,33.17591,0.82784,3.76995,5.59428
896,640,3,90.62500,25.03542,0.80115,9.30674,14.28135
896,800,3,90.62500,26.92271,0.83849,6.76179,11.49224
928,160,3,90.62500,32.39533,0.87231,3.61677,6.12031
928,416,3,90.62500,34.35166,0.90890,2.53520,4.88604
992,832,3,90.62500,33.94012,0.83188,3.70511,5.12312
1024,1312,3,90.62500,28.10517,0.84894,6.05236,10.02955
1024,1344,3,90.62500,30.34304,0.88139,4.77063,7.75154
1056,992,3,90.62500,35.90343,0.91605,2.65107,4.08666
1088,1376,3,90.62500,27.99663,0.87276,5.77655,10.15568
1184,1152,3,90.62500,34.13347,0.85430,3.34607,5.01034
1216,96,3,90.62500,29.85502,0.89479,4.54075,8.19953
1248,1152,3,90.62500,28.70648,0.83580,5.65060,9.35871
1312,1312,3,90.62500,36.31925,0.89012,2.70422,3.89563
1344,416,3,90.62500,27.23268,0.84915,7.05108,11.08935
