delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,32.11409,0.86148,4.21246,6.63822,40
6,81.25000,31.09530,0.82687,4.99623,7.45519,40
10,68.75000,30.01911,0.79036,5.87949,8.48116,40
13,59.37500,29.20370,0.76022,6.56040,9.33353,40
16,50.00000,28.57715,0.73018,7.17082,10.09644,40
19,40.62500,27.88126,0.69616,7.89503,10.93169,40
22,31.25000,27.73232,0.65611,8.38649,11.37579,40
26,18.75000,26.71071,0.58440,9.52089,12.75127,40
29,9.37500,25.89187,0.52025,10.59306,14.17911,40
31,3.12500,25.31467,0.47237,11.66508,15.36195,40
