blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.26330,6.95874,26.33417,0.73800
linear,0.99873,5.14752,32.67565,0.92946
cosine,0.97591,5.46938,33.74075,0.94831
gaussian,0.95448,5.66055,34.58840,0.96027
data,1.00445,5.41167,33.04189,0.93363
