blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.01808,6.84414,35.21979,0.96339
innercrop,1.06919,6.35597,31.54041,0.89756
tukey,1.07473,5.96359,32.32214,0.91427
ensemble,0.99222,4.24724,28.78554,0.79015
poisson,0.96222,7.41637,35.21715,0.99010
