blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.31002,13.33126,22.91055,0.62790
linear,1.15801,10.00029,29.79305,0.90124
cosine,1.12659,10.68125,31.28110,0.93126
gaussian,1.09846,11.08933,32.63560,0.95033
data,1.15074,10.56040,30.26501,0.91183
