blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.03952,6.04914,35.65195,0.96724
innercrop,1.16154,5.25914,31.12361,0.88381
tukey,1.10615,5.11660,32.62471,0.91862
ensemble,1.08438,3.56301,29.16447,0.80856
poisson,0.98889,6.41489,32.26202,0.98529
