delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.23348,0.84192,4.82474,7.37439,40
6,81.25000,30.05155,0.80259,5.71410,8.44598,40
10,68.75000,29.16566,0.76699,6.55986,9.35291,40
13,59.37500,28.53840,0.73703,7.28486,10.12318,40
16,50.00000,28.19298,0.71435,7.63927,10.56006,40
19,40.62500,27.38081,0.66950,8.71604,11.68604,40
22,31.25000,26.75332,0.62771,9.47900,12.57495,40
26,18.75000,25.78870,0.55763,10.75977,14.20312,40
29,9.37500,25.17679,0.49000,11.73562,15.40460,40
31,3.12500,24.48636,0.44701,12.75350,16.69919,40
