blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.01611,8.34229,34.96521,0.96585
innercrop,1.06386,7.60524,30.55411,0.89238
tukey,1.07005,7.27778,31.59822,0.91584
ensemble,0.96411,5.30151,28.00445,0.78864
poisson,0.97029,8.91565,33.29680,0.98995
