delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.65688,0.85851,4.54503,7.07906,40
6,81.25000,30.74080,0.82991,5.23250,7.88368,40
10,68.75000,29.77610,0.79532,6.05737,8.90235,40
13,59.37500,29.22353,0.77532,6.52884,9.45542,40
16,50.00000,28.60036,0.73828,7.19128,10.23352,40
19,40.62500,28.19961,0.70897,7.64526,10.76099,40
22,31.25000,27.44958,0.66498,8.46507,11.78495,40
26,18.75000,26.68740,0.59388,9.42533,12.78726,40
29,9.37500,26.14094,0.53381,10.23866,13.62901,40
31,3.12500,25.80021,0.49231,10.78415,14.13268,40
