blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.02652,7.33769,34.72826,0.96410
innercrop,1.07991,6.86034,30.75764,0.90355
tukey,1.08541,6.39503,31.26729,0.91441
ensemble,0.99170,4.55579,27.93177,0.79168
poisson,0.97561,7.88883,31.88311,0.98696
